SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5118608,7,13,14,16,13,13,10,17,0,101
5118609,8,31,37,32,36,26,24,22,0,225
5118610,18,10,30,27,17,21,24,22,5,169
5118611,13,23,27,16,14,16,9,5,4,124
5118612,11,11,27,22,19,8,14,24,5,135
5118613,3,13,28,34,9,12,14,14,7,128
5118614,6,7,13,5,10,4,11,14,3,84
5118615,3,9,22,18,8,6,14,15,4,95
5118616,7,17,44,30,17,17,23,38,7,200
5118617,9,17,26,17,21,13,15,24,3,146
5118618,9,10,23,11,16,13,11,20,3,112
5118619,4,7,25,20,12,14,17,14,7,117
5118620,9,13,29,28,26,28,17,22,3,176
5118621,10,12,37,31,28,20,27,29,3,198
5118701,4,12,20,13,12,8,11,10,4,95
5118702,19,10,15,25,22,17,11,10,4,134
5118703,7,20,27,19,21,23,23,17,3,166
5118704,22,23,29,28,28,24,14,37,3,206
5118705,12,16,31,26,28,15,13,33,4,180
5118706,4,3,15,11,3,11,9,14,0,67
5118707,22,28,47,41,29,32,30,33,5,262
5118708,16,11,20,25,19,7,7,12,3,121
5118709,18,20,39,39,28,20,15,35,3,209
5118710,13,17,35,26,21,13,16,25,0,172
5118711,8,24,39,31,21,18,23,21,0,193
5118713,19,18,29,35,19,19,26,22,7,181
5118714,14,12,30,15,17,23,23,30,3,166
5118715,14,20,35,37,17,19,26,19,0,186
5118716,15,13,19,15,22,22,12,13,0,139
5118717,23,35,33,33,34,17,7,24,0,202
5118718,0,9,9,14,7,9,8,21,5,76
5118719,22,21,48,36,29,33,17,29,3,234
5118720,20,24,27,22,27,26,12,26,0,181
5118722,0,0,0,0,0,0,0,0,0,0
5118723,8,12,3,4,4,3,7,3,0,41
5118724,3,6,3,0,0,0,0,0,0,11
5118725,9,19,26,12,26,24,7,16,0,145
5118726,12,21,31,24,19,25,16,21,3,164
5118727,14,20,30,13,16,20,10,16,3,140
5118728,15,13,22,14,15,11,13,20,0,114
5118729,16,17,30,26,25,23,9,16,4,154
