SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
509011230,13,78,0,94,424,81,3,603,3,28,0,32,287,60,7,386,0,0,0,0,194,51,0,248,0,4,0,4,66,21,0,87,581,239,43,858,2212,513,32,3616
509011231,22,83,0,104,430,60,0,597,0,37,0,38,319,61,3,417,0,5,0,7,175,42,0,222,0,5,0,4,49,26,0,81,652,211,38,906,1840,417,22,3181
509011232,22,74,0,92,434,48,0,571,0,35,0,35,343,27,0,403,0,4,0,5,137,21,0,168,0,0,0,0,31,9,0,40,497,177,25,700,1658,569,16,2935
509011233,43,170,5,221,905,93,14,1227,7,87,0,96,759,106,3,967,0,15,0,15,356,66,3,440,3,0,0,3,107,24,0,129,1717,561,80,2355,4927,630,38,7950
509011234,20,89,0,108,605,80,0,791,9,57,0,60,493,80,3,641,0,12,0,9,230,49,0,297,0,0,0,0,73,23,0,96,670,284,18,972,2607,526,21,4117
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,26,108,0,135,562,67,3,769,0,68,0,71,421,52,0,538,0,5,0,10,195,32,0,235,0,0,0,0,33,3,0,40,862,336,28,1228,2625,379,17,4242
509021237,21,66,0,85,426,67,0,583,4,34,0,35,339,69,0,434,0,5,0,5,215,54,0,279,0,0,0,0,74,30,0,102,578,218,23,822,2060,427,13,3320
509021238,13,88,0,99,482,49,0,631,3,55,0,58,370,50,0,472,3,8,0,10,166,39,0,213,0,0,0,0,81,12,0,94,607,215,31,852,1978,291,13,3130
509021239,38,150,4,184,1086,136,14,1422,9,124,0,133,1045,135,5,1316,0,22,0,23,432,86,0,538,0,0,0,0,87,22,0,106,1134,477,44,1649,4678,743,249,7321
