SA2_MAINCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
506051140,3,3,7,10,11,33,70,110,52,299,0,3,0,0,0,3,3,8,4,23,32,29,71,54,85,108,104,109,60,654,433,774,1186,1678,2167,1991,1842,1032,314,11410
506051141,0,0,0,6,8,19,84,81,43,241,0,0,5,3,0,0,7,5,3,22,33,33,36,52,65,98,78,79,45,523,381,550,841,1261,1695,1440,1252,634,238,8304
506061142,3,3,20,18,20,39,56,47,25,229,0,0,11,13,0,3,6,3,0,42,41,57,166,113,88,58,32,30,11,592,465,1151,3290,2202,1626,1165,664,272,97,10937
506061143,3,3,0,9,12,23,45,28,17,145,0,0,0,0,0,0,0,0,0,5,25,21,31,43,64,42,28,25,6,285,265,424,563,809,1135,801,476,172,49,4694
506061144,0,0,3,6,11,13,30,31,9,94,0,0,0,0,0,0,4,0,0,9,22,35,107,154,155,87,52,35,8,654,135,197,432,589,804,581,436,203,39,3424
506071145,5,0,8,12,15,28,28,60,64,221,0,0,11,7,5,7,0,8,7,40,42,92,180,139,115,120,88,86,76,952,401,1267,2809,1885,1577,1630,1117,645,397,11733
506071146,0,3,7,10,15,28,34,58,37,200,0,0,4,4,9,14,10,9,5,62,49,49,62,65,63,71,96,90,198,728,547,1118,1417,1201,1359,1339,952,545,402,8886
506071147,0,0,8,6,18,21,42,57,44,193,0,0,13,3,6,4,3,3,0,29,48,77,249,172,161,146,151,103,80,1194,442,1187,2727,2232,2250,2123,1499,593,322,13376
507011148,3,3,5,19,24,32,53,48,15,205,0,0,11,19,8,4,5,0,4,48,48,28,109,88,75,62,45,39,29,528,544,979,2672,3224,2192,1188,673,271,108,11850
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
