SA2_MAINCODE_2016,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6_Fam_hh,Nu_pn_pre_Ce_Ngt_6_No_fam_hh,Num_pns_pres_Cen_Ngt_6_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
509021242,28,401,431,421,108,534,126,23,145,124,12,137,36,11,46,29,0,29,767,550,1321
509021243,89,1179,1267,1248,259,1509,500,69,567,459,51,514,221,19,241,160,14,170,2666,1591,4257
509021244,74,494,571,702,119,822,213,25,236,127,20,149,85,12,99,43,0,43,1248,669,1920
509021245,72,674,746,763,160,917,251,32,284,165,26,189,98,19,118,49,5,52,1391,907,2304
509031246,39,438,481,522,100,620,184,24,208,118,12,127,73,14,88,30,3,34,967,594,1558
509031247,51,553,605,544,104,649,204,36,241,166,17,175,79,11,91,41,0,40,1083,722,1807
509031248,20,248,267,319,53,373,115,17,130,115,11,128,59,3,64,23,3,29,658,337,992
509031249,40,566,611,495,97,598,221,41,262,196,12,209,98,8,109,56,4,63,1110,738,1849
509031250,55,577,639,715,133,851,183,26,209,187,25,212,100,16,111,48,0,53,1286,781,2069
510011262,137,1413,1548,1119,1600,2717,667,248,907,624,131,756,357,80,443,225,45,273,3126,3517,6642
510011263,44,703,740,424,576,1005,267,77,339,265,82,350,184,32,217,294,26,322,1482,1495,2974
510011264,6,300,305,126,235,360,87,45,129,82,41,124,52,15,71,134,29,165,483,672,1156
510011265,76,818,892,537,884,1419,297,131,432,263,108,371,160,54,211,165,28,190,1497,2027,3522
510011266,7,288,294,138,584,723,67,25,90,75,57,136,68,11,80,89,9,96,450,968,1414
510021267,5,232,236,90,240,325,39,14,57,49,6,56,50,0,53,106,5,111,335,496,833
510021268,34,396,428,308,122,434,178,40,218,229,40,265,130,18,149,64,6,73,942,626,1561
510021269,36,570,605,410,221,624,168,39,209,202,38,243,99,9,105,41,4,46,962,875,1832
510021270,82,803,889,702,321,1025,430,114,549,446,89,540,240,33,274,167,34,205,2071,1410,3476
510031271,58,665,722,437,559,998,283,70,344,370,59,429,147,21,170,90,6,95,1386,1376,2763
510031272,102,1257,1356,1206,535,1740,788,167,952,876,103,979,434,45,474,278,31,312,3684,2134,5816
510031273,36,360,388,302,290,593,217,35,247,258,22,279,136,12,149,94,3,93,1041,722,1764
511011274,114,1265,1377,1361,357,1716,593,115,704,532,65,600,240,27,261,135,9,151,2968,1836,4805
511011275,42,412,455,403,136,548,128,31,160,154,34,186,84,16,97,43,7,45,857,638,1491
511021276,35,682,718,469,720,1194,264,61,330,209,48,255,102,18,125,77,6,89,1167,1537,2698
